"vessel_names";"volume";"product";"group";"family";"start_date";"end_date";"origin";"destination"
"Eros";129972;"crude";"crude/co";"Dirty";"2017-02-03";"2017-02-09";"Mexico";"Japan"
"Advantage Atom";1035956;"crude";"crude/co";"Dirty";"2018-11-03";"2018-11-21";"Argentina";"Brazil"
"Tordis Knutsen";87101;NA;"Kero/Jet";"Middle Distillates";"2019-06-10";"2019-07-05";"Iraq";"China"
"Carmel";203494;"crude";"crude/co";"Dirty";"2016-04-22";"2016-05-22";"Saudi Arabia";"China"
"Hua Lin Wan";240887;"crude";"crude/co";"Dirty";"2016-12-02";"2016-12-14";"Indonesia";"India"
"Celsius Porto";873679;"crude";"crude/co";"Dirty";"2016-02-20";"2016-03-13";"Australia";"Thailand"
"Bukha";69527;"FO";"Fuel Oils";"DPP";"2016-11-28";"2016-12-14";"Kuwait";"South Korea"
"Maersk Katalin";246912;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-08-24";"2020-09-06";"United Arab Emirates";"United States"
"Front Jaguar";321384;"crude";"crude/co";"Dirty";"2019-12-14";"2020-01-20";"United Arab Emirates";"China"
"Neelambari";252900;"crude";"crude/co";"Dirty";"2017-08-05";"2017-08-10";"Qatar";"South Korea"
"Maran Ariadne";491190;"crude";"crude/co";"Dirty";"2018-02-05";"2018-02-14";"Bahrain";"Seychelles"
"Hafnia Daisy";57715;"FO";"Fuel Oils";"DPP";"2018-06-19";"2018-07-13";"China";"Indonesia"
"High Seas";517752;NA;"crude/co";"Dirty";"2018-03-22";"2018-05-11";"South Korea";"Japan"
"Sti Marvel";1032686;"crude";"crude/co";"Dirty";"2017-02-02";"2017-02-26";"Turkey";"Italy"
"Hebe";468031;NA;"crude/co";"Dirty";"2017-06-05";"2017-06-16";"Iraq";"India"
"Iwatesan";64810;"FO";"Fuel Oils";"DPP";"2019-05-06";"2019-05-18";"Russian Federation";"Sweden"
"Bianca Amoretti";1048014;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-01-20";NA;"United Kingdom";NA
"Tordis Knutsen";32210;"crude";"crude/co";"Dirty";"2014-08-30";"2014-09-16";"Russian Federation";"South Korea"
"Leontios H";319516;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-03-04";"2018-03-09";"South Korea";"Australia"
"Csc Peace";301803;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-05-13";"2018-06-04";"Cyprus";"Lebanon"
"Astipal";279506;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2015-03-02";"2015-03-24";"Saudi Arabia";"United States"
"Dht Raven";39701;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-02-09";"2020-02-13";"Portugal";"Angola"
"Ligurian Sea";69080;"crude";"crude/co";"Dirty";"2017-08-31";"2017-09-21";"United Arab Emirates";"Thailand"
"Lovely Lady";361701;"crude";"crude/co";"Dirty";"2019-10-25";"2019-12-22";"Malta";"Malta"
"Songa Coral";81352;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-06-25";"2020-07-23";"Saudi Arabia";"Japan"
"West Virginia";281808;NA;"Gasoil/Diesel";"Middle Distillates";"2017-02-16";"2017-05-22";"Singapore Republic";"Philippines"
"Etc Nefertari";702200;"crude";"crude/co";"Dirty";"2019-01-22";"2019-02-16";"United States";"Japan"
"Chokaisan";1064147;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2015-12-01";"2016-02-01";"China";"Malaysia"
"Minerva Oceania";42009;"crude";"crude/co";"Dirty";"2019-02-05";"2019-03-12";"Kuwait";"Singapore Republic"
"Gotland Aliya";35090;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-08-23";"2020-08-24";"United Arab Emirates";"Thailand"
"Argenta";518808;"FO";"Fuel Oils";"DPP";"2018-08-03";"2018-09-13";"Turkey";"Tunisia"
"New Prosperity";276311;"crude";"crude/co";"Dirty";"2015-04-25";"2015-05-04";"Germany";"Denmark"
"Team Corrido";503700;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-03-14";"2018-04-07";"Iran";"Iran"
"Bora";601412;"crude";"crude/co";"Dirty";"2018-09-21";"2018-09-22";"Iran";"China"
"Xin Run Yang";194682;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-12-12";"2017-02-18";"Saudi Arabia";"Saudi Arabia"
"Luna Erawan";73999;NA;"crude/co";"Dirty";"2013-06-15";NA;"Brazil";NA
"Ds Venture";1996838;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-02-03";"2019-02-06";"Singapore Republic";"Indonesia"
"Opal Express";277298;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-03-20";"2018-03-28";"Iraq";"Iraq"
"Minerva Symphony";186436;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2014-02-07";"2014-03-04";"Egypt";"Bulgaria"
"Cielo Di Ulsan";2000002;"crude";"crude/co";"Dirty";"2017-08-09";"2017-08-30";"Saudi Arabia";"Japan"
"Swift Winchester";155811;"FO";"Fuel Oils";"DPP";"2016-07-31";"2016-08-24";"Turkey";"India"
"Ridgebury Cindy A";100001;"FO";"Fuel Oils";"DPP";"2018-12-31";"2019-02-09";"Saudi Arabia";"Saudi Arabia"
"Stena Spirit";1010281;"FO";"Fuel Oils";"DPP";"2016-03-11";"2016-03-22";"United States";"South Korea"
"Karema";33499;"Jet";"Kero/Jet";"Middle Distillates";"2019-12-24";"2020-02-06";"Singapore Republic";"Bangladesh"
"Advantage Atom";115141;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-06-21";"2019-07-03";"Libya";"Spain"
"Hong Kong Spirit";1062657;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-06-21";"2019-06-26";"United Arab Emirates";"China"
"Sounion";482818;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-07-05";"2016-07-07";"Sudan";"China"
"Cielo Di New York";127444;"crude";"crude/co";"Dirty";"2017-05-27";NA;"Kuwait";NA
"Sloman Hermes";668003;"crude";"crude/co";"Dirty";"2020-07-02";NA;"United Arab Emirates";NA
"Bahri Iris";517255;"RFO";"Fuel Oils";"DPP";"2020-05-20";"2020-06-27";"Nigeria";"Indonesia"
"Mei Lin Wan";347461;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-12-01";"2018-01-19";"Russian Federation";"France"
"Bit Viking";992544;NA;"Gasoline/Naphtha";"Light Ends";"2014-03-26";"2014-03-29";"Brazil";"Brazil"
"Swift Omaha";118185;"crude";"crude/co";"Dirty";"2015-11-27";"2015-12-16";"Norway";"China"
"Dht Raven";761670;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-10-25";"2019-10-30";"United States";"Venezuela"
"Petrolimex 20";500002;"crude";"crude/co";"Dirty";"2016-12-19";"2017-02-12";"Singapore Republic";"Malaysia"
"Silver Hague";307999;"crude";"crude/co";"Dirty";"2015-06-22";"2015-07-13";"Nigeria";"Nigeria"
"Pink Stars";166604;"crude";"crude/co";"Dirty";"2018-12-07";"2018-12-08";"Saudi Arabia";"Italy"
"Amazon Explorer";343354;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-09-20";"2019-10-16";"Japan";"United States"
"Abqaiq";1042473;"crude";"crude/co";"Dirty";"2018-11-22";"2018-11-28";"United States";"Canada"
"Noble Way";320943;"crude";"crude/co";"Dirty";"2019-03-03";"2019-03-11";"United States";"Morocco"
"Norient Solar";999501;"crude";"crude/co";"Dirty";"2013-02-01";"2013-02-05";"United States";"Brazil"
"Dht Bauhinia";120632;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-12-14";"2017-01-01";"Turkey";"Greece"
"Kriti Jade";83031;"condensate";"crude/co";"Dirty";"2018-10-16";"2018-11-21";"Russian Federation";"Singapore Republic"
"Minerva Atlantica";574788;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-03-02";NA;"Finland";NA
"Zuma";351877;"Jet";"Kero/Jet";"Middle Distillates";"2018-06-02";"2018-06-21";"Algeria";"United Kingdom"
"Jutlandia Swan";41814;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-12-06";"2017-12-27";"Singapore Republic";"Hong Kong"
"East Coast";2003021;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-07-02";"2013-07-27";"Canada";"United States"
"Cap Diamant";162239;"FO";"Fuel Oils";"DPP";"2017-02-01";"2017-02-14";"Brazil";"Brazil"
"Iblea";549094;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2013-10-20";"2013-11-14";"South Korea";"South Korea"
"Ace";259794;"crude";"crude/co";"Dirty";"2016-12-22";"2017-01-04";"Russian Federation";"South Korea"
"Overseas Nikiski";58061;"crude";"crude/co";"Dirty";"2019-12-12";"2019-12-17";"Saudi Arabia";"Taiwan"
"Vs Spirit";47569;"crude";"crude/co";"Dirty";"2018-05-07";"2018-05-24";"India";"Singapore Republic"
"Parthenon Ts";629817;NA;"Gasoline/Naphtha";"Light Ends";"2020-04-22";"2020-06-05";"Russian Federation";"Denmark"
"Torm Arawa";766029;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-04-16";"2018-05-01";"Russian Federation";"Finland"
"Bw Zambesi";386288;"crude";"crude/co";"Dirty";"2020-07-06";"2020-07-08";"Singapore Republic";"Cambodia"
"Seatreasure";268537;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-06-04";"2018-06-18";"India";"Philippines"
"Nord Highlander";466999;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-02-02";"2020-02-18";"United Arab Emirates";"New Zealand"
"Jag Prabha";1500000;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-04-15";"2019-04-20";"United Arab Emirates";"Japan"
"As Suwayq";32260;"crude";"crude/co";"Dirty";"2018-11-19";"2018-12-12";"Qatar";"Malaysia"
"Ns Champion";332158;"Jet";"Kero/Jet";"Middle Distillates";"2017-03-23";"2017-03-24";"Colombia";"United States"
"Stena Arctica";4220;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-04-22";"2018-05-14";"Malaysia";"Malaysia"
"Scf Baltica";69816;"crude";"crude/co";"Dirty";"2019-04-18";"2019-05-21";"United Arab Emirates";"Japan"
"Maersk Promise";338794;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-03-10";NA;"Brazil";NA
"Splendour Emerald";289501;NA;"crude/co";"Dirty";"2020-09-05";NA;"India";NA
"Kun Lun You 203";138319;"crude";"crude/co";"Dirty";"2018-10-04";"2018-10-06";"Colombia";"Turkey"
"Delta Sky";31178;"FO";"Fuel Oils";"DPP";"2019-01-30";"2019-02-05";"Lithuania";"Latvia"
"Win Sino";120525;"FO";"Fuel Oils";"DPP";"2017-10-29";NA;"United States";NA
"Briolette";31807;"crude";"crude/co";"Dirty";"2019-12-19";"2020-02-10";"Peru";"Mexico"
"Jag Pahel";169397;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-11-27";"2016-12-15";"United States";"United States"
"Xin Shen Yang";177699;"crude";"crude/co";"Dirty";"2014-05-01";"2014-05-04";"Kuwait";"China"
"Ohio";197166;"FO";"Fuel Oils";"DPP";"2018-05-26";"2018-07-01";"United Kingdom";"Netherlands"
"Apollo Energy";285708;NA;"crude/co";"Dirty";"2018-11-12";"2018-12-31";"Russian Federation";"Poland"
"Stemnitsa";96466;"crude";"crude/co";"Dirty";"2018-12-15";"2019-01-05";"Iran";"Greece"
"Alaskan Explorer";570001;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-03-18";"2019-05-10";"Guatemala";"United States"
"High Trader";9529;"FO";"Fuel Oils";"DPP";"2019-02-10";"2019-02-19";"Qatar";"Japan"
"Eagle Torrance";995960;"crude";"crude/co";"Dirty";"2017-02-17";"2017-03-12";"United States";"Bahamas"
"Maxim";717887;"crude";"crude/co";"Dirty";"2020-01-05";"2020-01-09";"Iraq";"Turkey"
"Eneos Tokyo";267027;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-08-16";"2017-09-30";"United States";"Brazil"
"Ratu Ruwaidah";39858;NA;"crude/co";"Dirty";"2020-09-29";"2020-11-08";"Estonia";"United Kingdom"
"Lone Star State";151993;"crude";"crude/co";"Dirty";"2019-05-01";NA;"Norway";NA
"Sandviken";82893;"FO";"Fuel Oils";"DPP";"2018-12-12";NA;"United States";NA
"Forest Park";109121;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-11-23";"2017-01-17";"China";"China"
"Crimson Jade";722623;"Jet";"Kero/Jet";"Middle Distillates";"2018-09-19";NA;"Malaysia";NA
"Nave Orion";740530;"crude";"crude/co";"Dirty";"2015-11-30";NA;"United States";NA
"Ocean Iii";317207;"RFO";"Fuel Oils";"DPP";"2016-05-14";"2016-05-16";"United States";"Canada"
"Nancy P";767482;"crude";"crude/co";"Dirty";"2017-08-01";"2017-08-06";"Portugal";"Portugal"
"Khk Vision";35348;"crude";"crude/co";"Dirty";"2019-10-31";"2019-11-18";"United States";"Mexico"
"Nor'Easter";48708;"crude";"crude/co";"Dirty";"2018-11-05";NA;"Ecuador";NA
"Ocean Stellar";235402;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-07-26";"2018-08-12";"United Arab Emirates";"Taiwan"
"New Activity";1027031;NA;"Gasoline/Naphtha";"Light Ends";"2019-05-15";"2019-05-18";"Saudi Arabia";"Saudi Arabia"
"Whitney";66634;"crude";"crude/co";"Dirty";"2020-01-12";"2020-01-15";"Egypt";"Italy"
"Obsidian";1046699;"crude";"crude/co";"Dirty";"2018-04-27";"2018-05-02";"Norway";"Netherlands"
"Dht China";260857;"crude";"crude/co";"Dirty";"2016-03-11";"2016-03-12";"Lithuania";"Thailand"
"Stolt Sagaland";142426;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2015-03-15";"2015-03-22";"Russian Federation";"France"
"Ns Champion";16384;"crude";"crude/co";"Dirty";"2016-08-23";"2016-08-25";"Venezuela";"Trinidad and Tobago"
"Jag Aparna";236484;"crude";"crude/co";"Dirty";"2017-02-04";"2017-02-08";"United States";"Chile"
"Kun Lun You 202";632717;"FO";"Fuel Oils";"DPP";"2018-09-08";NA;"Saudi Arabia";NA
"Bsl Elsa";1047756;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-02-05";"2017-02-10";"Nigeria";"France"
"Gassan";302659;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-08-31";"2018-09-07";"Saudi Arabia";"Saudi Arabia"
"Vinalines Glory";122148;"crude";"crude/co";"Dirty";"2017-12-14";"2018-02-02";"Kuwait";"India"
"Sti Galata";142722;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-12-10";"2017-12-24";"Qatar";"Oman"
"Petrolimex 18";255460;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-11-16";"2019-11-29";"Venezuela";"Venezuela"
"Elisalex Schulte";950000;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-12-13";"2018-12-23";"Brazil";"China"
"Lady Ava";384842;"Blending Comps";"Blendings";"Light Ends";"2017-05-29";"2017-07-28";"United Arab Emirates";"Egypt"
"Cosmo Ace";293834;"FO";"Fuel Oils";"DPP";"2015-08-07";"2015-09-28";"Turkey";"Nigeria"
"Sti Brixton";181467;"FO";"Fuel Oils";"DPP";"2015-05-21";"2015-06-09";"Singapore Republic";"Thailand"
"Bonita";248227;"crude";"crude/co";"Dirty";"2018-11-21";"2018-11-29";"United States";"Mexico"
"Gulf Coast";76465;"crude";"crude/co";"Dirty";"2019-02-04";NA;"China";NA
"Al Anbariah";62174;"crude";"crude/co";"Dirty";"2018-05-07";"2018-05-29";"South Korea";"Philippines"
"Al Amal Al Saudi";407535;"RFO";"Fuel Oils";"DPP";"2015-05-17";"2015-05-20";"South Korea";"United States"
"Zapphire";514103;"FO";"Fuel Oils";"DPP";"2018-11-08";"2018-11-13";"United Arab Emirates";"New Zealand"
"Sichem Marseille";15793;"crude";"crude/co";"Dirty";"2016-10-10";"2016-10-26";"Saudi Arabia";"Japan"
"New Aspire";80666;"crude";"crude/co";"Dirty";"2016-01-21";"2016-02-05";"United Arab Emirates";"South Korea"
"Dante";732297;"crude";"crude/co";"Dirty";"2016-06-12";"2016-06-21";"Taiwan";"Philippines"
"Penelop";462074;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-06-28";"2020-07-01";"Jordan";"United States"
"Doric Breeze";97882;"crude";"crude/co";"Dirty";"2019-09-30";"2019-11-08";"Nigeria";"Denmark"
"Manuela Bottiglieri";1066556;"crude";"crude/co";"Dirty";"2019-01-17";"2019-02-11";"United Kingdom";"United Kingdom"
"Griya Cirebon";360487;"crude";"crude/co";"Dirty";"2016-12-10";"2016-12-16";"United States";"United States"
"Maersk Altus";516292;"crude";"crude/co";"Dirty";"2017-05-29";"2017-06-18";"Japan";"Singapore Republic"
"Dht Hawk";90824;"condensate";"crude/co";"Dirty";"2020-03-30";"2020-03-31";"United States";"Ecuador"
"Swarna Jayanti";102171;"crude";"crude/co";"Dirty";"2020-07-21";"2020-08-03";"Norway";"Netherlands"
"Astro Arcturus";1037372;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-12-26";"2018-01-01";"Estonia";"Senegal"
"Torm Caroline";182303;"FO";"Fuel Oils";"DPP";"2013-11-03";"2013-12-24";"Malaysia";"Indonesia"
"Sunny Sky";35631;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-03-22";"2018-04-05";"Venezuela";"Venezuela"
"Saranga";28524;"Kerosene";"Kero/Jet";"Middle Distillates";"2017-01-05";"2017-01-09";"Iraq";"Singapore Republic"
"Makenita H";210840;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-05-27";"2020-06-22";"Argentina";"Argentina"
"Navarin";534998;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-03-23";"2017-03-25";"Poland";"Netherlands"
"Aegean Unity";135715;"FO";"Fuel Oils";"DPP";"2018-02-01";"2018-02-05";"Ghana";"Ghana"
"Seaways Tanabe";485001;"crude";"crude/co";"Dirty";"2018-03-15";"2018-03-26";"Venezuela";"United States"
"Krymsk";49695;"crude";"crude/co";"Dirty";"2018-03-02";NA;"Malaysia";NA
"Gea";208620;"FO";"Fuel Oils";"DPP";"2015-11-17";"2015-12-03";"United Arab Emirates";"United Arab Emirates"
"Pacific Trader";79371;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-09-18";"2019-09-25";"Netherlands";"Ecuador"
"Vl Brilliant";119462;"crude";"crude/co";"Dirty";"2019-11-09";"2019-12-15";"Russian Federation";"Netherlands"
"Lisca Nera M";129117;"Jet";"Kero/Jet";"Middle Distillates";"2016-07-01";"2016-07-12";"Venezuela";"India"
"Sri Vishnu";433078;"crude";"crude/co";"Dirty";"2020-08-30";"2020-09-16";"Malaysia";"China"
"Sti Camden";325654;"Blending Comps";"Blendings";"Light Ends";"2013-09-18";"2013-09-24";"Turkey";"Thailand"
"Dior";131211;"crude";"crude/co";"Dirty";"2017-10-23";NA;"United Kingdom";NA
"Jag Punit";18;"crude";"crude/co";"Dirty";"2020-04-01";"2020-04-07";"France";"France"
"Meloria";316780;"RFO";"Fuel Oils";"DPP";"2019-06-22";"2019-06-29";"Iraq";"United Arab Emirates"
"Desh Shobha";102347;NA;"Gasoline/Naphtha";"Light Ends";"2018-05-23";"2018-05-27";"Colombia";"Romania"
"Polaris Voyager";644950;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-28";"2019-04-01";"United States";"China"
"Pacific Onyx";146489;"crude";"crude/co";"Dirty";"2018-10-24";"2018-11-28";"New Zealand";"New Zealand"
"Delta Glory";2077216;NA;"crude/co";"Dirty";"2016-11-14";"2016-11-17";"Brazil";"Brazil"
"Commander";239849;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-05-01";"2018-05-18";"Brazil";"Brazil"
"Leo Sun";53130;"FO";"Fuel Oils";"DPP";"2017-07-17";"2017-07-24";"United States";"Mexico"
"Seaways Raffles";2000002;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-12-01";NA;"Qatar";NA
"Shannen";730007;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2015-04-04";"2015-04-27";"Italy";"Italy"
"Bro Anna";231005;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-10-02";"2020-05-08";"Angola";"Argentina"
"Nordic Ann";544999;"crude";"crude/co";"Dirty";"2019-09-10";"2019-10-01";"Mexico";"United States"
"Nansen Spirit";502933;"FO";"Fuel Oils";"DPP";"2018-04-24";"2018-04-25";"Greece";"Greece"
"Bull Sulawesi";573624;"Jet";"Kero/Jet";"Middle Distillates";"2016-08-22";"2016-09-02";"Canada";"Belgium"
"Csc Peace";73112;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-09-09";"2019-09-14";"Saudi Arabia";"Singapore Republic"
"Genuine Venus";715044;"crude";"crude/co";"Dirty";"2019-08-22";"2019-09-10";"Russian Federation";"Turkey"
"Dong-A Triton";39644;NA;"crude/co";"Dirty";"2019-11-07";"2019-11-30";"Greece";"Italy"
"Maran Homer";281739;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-05-02";"2017-05-06";"Iraq";"Iraq"
"Songa Sapphire";73005;"crude";"crude/co";"Dirty";"2017-09-17";"2017-09-20";"United States";"Brazil"
"Success Dalia Xlviii";154609;"FO";"Fuel Oils";"DPP";"2014-08-08";NA;"United Arab Emirates";NA
"Ns Lotus";60206;"crude";"crude/co";"Dirty";"2019-09-03";"2019-09-26";"Norway";"United Kingdom"
"Ns Columbus";1056166;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-05-08";"2018-05-08";"Russian Federation";"South Korea"
"Wafrah";80207;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-03-16";"2018-03-20";"South Korea";"New Caledonia"
"Seto Express";263109;"FO";"Fuel Oils";"DPP";"2017-01-04";"2017-01-10";"Russian Federation";"Germany"
"Nordic Cross";394503;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-02-21";"2019-02-25";"Saudi Arabia";"Sudan"
"Recoleta";483088;"crude";"crude/co";"Dirty";"2019-01-28";"2019-02-13";"Canada";"Canada"
"Brasil 2014";387162;"crude";"crude/co";"Dirty";"2016-12-07";"2016-12-10";"Saudi Arabia";"India"
"Korsaro";25505;"crude";"crude/co";"Dirty";"2019-08-08";"2019-08-31";"China";"Singapore Republic"
"Madre De Deus";540168;"crude";"crude/co";"Dirty";"2016-09-01";"2016-09-07";"India";"India"
"Georgia M";2440;NA;"crude/co";"Dirty";"2018-02-05";"2018-03-14";"United Arab Emirates";"Saudi Arabia"
"Ocean Globe";985349;"crude";"crude/co";"Dirty";"2014-11-12";NA;"Russian Federation";NA
"Nord Gainer";325013;"Jet";"Kero/Jet";"Middle Distillates";"2014-02-14";"2014-03-30";"Kuwait";"Singapore Republic"
"Pantariste";58891;"condensate";"crude/co";"Dirty";"2015-07-07";"2015-08-26";"India";"United States"
"Kirana Santya";66609;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-11-09";"2018-11-14";"Belgium";"Brazil"
"Quetta";597733;"crude";"crude/co";"Dirty";"2019-10-19";NA;"Mexico";NA
"Viktor Bakaev";72766;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-01-01";"2018-02-04";"Indonesia";"Indonesia"
"Bow Star";500002;"Jet";"Kero/Jet";"Middle Distillates";"2015-11-17";NA;"Netherlands";NA
"Marmara Sea";261027;"crude";"crude/co";"Dirty";"2019-11-26";"2019-12-19";"Malaysia";"Malaysia"
"Lr1 Ambassador";65401;NA;"Fuel Oils";"DPP";"2013-10-05";"2013-10-28";"Venezuela";"United States"
"Hafid";702093;NA;"crude/co";"Dirty";"2018-11-16";"2018-12-22";"Norway";"Malaysia"
"Dolviken";495945;"crude";"crude/co";"Dirty";"2020-06-09";"2020-06-29";"Venezuela";"United States"
"Blue Moon";702150;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-10-12";"2019-10-13";"Libya";"Italy"
"Caleta Rosario";919998;"crude";"crude/co";"Dirty";"2017-09-07";"2017-09-12";"India";"India"
"Zonda";23939;"FO";"Fuel Oils";"DPP";"2020-04-04";"2020-04-26";"Algeria";"United Kingdom"
"Jag Pranav";53280;"FO";"Fuel Oils";"DPP";"2015-11-19";"2015-11-21";"Turkey";"Ivory Coast"
"Arendal";5057;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-11-10";"2016-11-12";"Saudi Arabia";"India"
"Woo Chan";100196;"FO";"Fuel Oils";"DPP";"2016-02-12";"2016-02-26";"United States";"United States"
"Southern Turkey";512022;"crude";"crude/co";"Dirty";"2020-03-26";NA;"Malaysia";NA
"Great Eastern";69835;NA;"Fuel Oils";"DPP";"2018-09-18";"2018-09-24";"United States";"Singapore Republic"
"Eagle Melbourne";505990;"Jet";"Kero/Jet";"Middle Distillates";"2013-04-13";"2013-04-20";"Qatar";"United Kingdom"
"Xin Mao Yang";48418;NA;"crude/co";"Dirty";"2018-09-22";"2018-09-25";"Brazil";"Brazil"
"Bouboulina";2028577;"crude";"crude/co";"Dirty";"2020-08-01";"2020-08-31";"Saudi Arabia";"China"
"Bari";524853;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-09-25";NA;"Netherlands";NA
"Chem Houston";115361;"crude";"crude/co";"Dirty";"2017-04-03";"2017-04-19";"United Kingdom";"United States"
"Minerva Alice";304999;"FO";"Fuel Oils";"DPP";"2019-10-28";"2019-11-01";"Curacao";"China"
"Judy Ii";702093;"crude";"crude/co";"Dirty";"2018-09-15";"2018-10-30";"India";"India"
"Front Earl";713333;"FO";"Fuel Oils";"DPP";"2020-02-23";"2020-03-29";"Iraq";"Turkey"
"Seascout";35581;"crude";"crude/co";"Dirty";"2017-10-17";"2017-11-09";"Italy";"Italy"
"Angel No. 5";149099;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-10-02";"2019-11-04";"Malaysia";"Malaysia"
"Minerva Leo";968574;"Jet";"Kero/Jet";"Middle Distillates";"2017-12-18";"2017-12-19";"United Arab Emirates";"Tanzania"
"Esther";788031;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-11-27";"2018-11-30";"Saudi Arabia";"India"
"Falcon Majestic";53268;"crude";"crude/co";"Dirty";"2018-04-18";"2018-05-16";"Russian Federation";"South Korea"
"Esteem Brilliance";153672;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-11-12";NA;"Malaysia";NA
"Seajewel";22869;"crude";"crude/co";"Dirty";"2016-11-06";"2016-11-09";"Saudi Arabia";"Saudi Arabia"
"Cap Leon";824273;"FO";"Fuel Oils";"DPP";"2020-05-30";"2020-06-07";"United Kingdom";"United Kingdom"
"Torm Lilly";351046;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-12-06";"2016-12-19";"Mexico";"United States"
"Rio Grande";429889;"crude";"crude/co";"Dirty";"2019-12-29";"2020-02-02";"United States";"India"
"Nave Aquila";118889;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-04-23";"2016-04-28";"Russian Federation";"Netherlands"
"Alqadisia";57356;"FO";"Fuel Oils";"DPP";"2013-03-22";"2013-03-25";"Togo";"Ghana"
"Epicurus";174793;NA;"Gasoline/Naphtha";"Light Ends";"2017-10-27";NA;"Russian Federation";NA
"Chrysalis";283110;NA;"crude/co";"Dirty";"2017-08-03";"2017-08-19";"Angola";"China"
"Minerva Astra";888882;"Blending Comps";"Blendings";"Light Ends";"2013-03-24";"2013-05-17";"Venezuela";"Brazil"
"Sti Osceola";771476;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-05-17";"2017-05-24";"Venezuela";"Venezuela"
"Baltic Advance";328233;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-08-25";"2017-09-05";"Russian Federation";"Germany"
